t,c,mean,std,size
0,0,5.551350755496874,20.81811312096003,1623832
0,1,156.79439190753723,21.464705037449644,1623832
0,2,137.2089822099823,13.308969647670263,1623832
1,0,5.739406539592766,20.71971665158175,1623832
1,1,155.66063422817138,21.552568965385397,1623832
1,2,138.07124628656166,13.148294828968051,1623832
2,0,6.106470989609763,20.71170575954238,1623832
2,1,154.5741166573882,21.75505022124379,1623832
2,2,136.00234445435242,13.00399023421283,1623832
3,0,6.501840707659413,20.734808895997098,1623832
3,1,153.77783970262934,21.965919649798803,1623832
3,2,133.2020399893585,12.78641358301119,1623832
4,0,6.950955517565856,20.765080515812855,1623832
4,1,152.9755190192089,22.174253240333602,1623832
4,2,136.6448364116485,13.158769989144425,1623832
5,0,7.419336483084457,20.785826375684206,1623832
5,1,152.4017447617734,22.373292159863762,1623832
5,2,135.37059745096784,13.075314161056465,1623832
6,0,7.914792909611339,20.812453008189625,1623832
6,1,151.72591006951458,22.559232781867912,1623832
6,2,132.40868759822445,12.811632446511375,1623832
7,0,8.405680513747727,20.8381370845456,1623832
7,1,151.18438360618586,22.736855106298567,1623832
7,2,130.96123983269206,12.718255834552405,1623832
8,0,8.86755526433769,20.86473177440435,1623832
8,1,150.48218596505058,22.88824742476135,1623832
8,2,135.37082284374245,13.20165049723109,1623832
9,0,9.325261480251651,20.88916061437512,1623832
9,1,149.9490606171082,23.02011530646594,1623832
9,2,127.73297853472526,12.478659084864121,1623832
10,0,9.770736135265224,20.927293915656314,1623832
10,1,149.3102045039142,23.13273394191667,1623832
10,2,126.89322540755448,12.427558404396981,1623832
11,0,10.205712167268535,20.982476501516746,1623832
11,1,148.87542553663187,23.224189485413522,1623832
11,2,128.52259408608774,12.616506425798413,1623832
12,0,10.624774607225378,21.040897718119428,1623832
12,1,148.10601342996074,23.323574040355176,1623832
12,2,124.42704664029284,12.261075061923055,1623832
13,0,10.987435892382956,21.098348510637393,1623832
13,1,147.3552959912109,23.377440218864532,1623832
13,2,121.11968110001527,11.976884443588178,1623832
14,0,11.347061765010173,21.1331988087926,1623832
14,1,146.53821762349799,23.428860767526103,1623832
14,2,119.81030180462018,11.895434659953485,1623832
15,0,11.69756723601949,21.158073358577973,1623832
15,1,145.909399494529,23.451515627598543,1623832
15,2,118.4354169643165,11.804024928502532,1623832
16,0,12.054699008271792,21.200758956390207,1623832
16,1,145.23121357381797,23.482424116988078,1623832
16,2,117.08833241369797,11.715818813710792,1623832
17,0,12.433618748737555,21.26774086814941,1623832
17,1,144.60949593307683,23.508951496948864,1623832
17,2,115.72321705693693,11.615016551898409,1623832
18,0,12.798466220643515,21.33371829717116,1623832
18,1,144.03939754851487,23.53405351070681,1623832
18,2,114.40888466294543,11.520809706505112,1623832
19,0,13.130446992053365,21.406047309853754,1623832
19,1,143.31228045758428,23.559627917624216,1623832
19,2,113.03987111967248,11.429404936104335,1623832
20,0,13.435890535474114,21.47955025217067,1623832
20,1,142.63722293931883,23.563579615907006,1623832
20,2,114.14872351326984,11.57822161091185,1623832
21,0,13.759977633154168,21.55605268135216,1623832
21,1,141.8331557698087,23.574883136703065,1623832
21,2,117.7878659861365,11.977810118191057,1623832
22,0,14.098233068445504,21.65933870332931,1623832
22,1,141.1218155572744,23.568869377946992,1623832
22,2,119.7721272890299,12.229094569289868,1623832
23,0,14.419388212573715,21.753279045929176,1623832
23,1,140.48899639864223,23.575934334872574,1623832
23,2,107.85467708482159,11.05735192266817,1623832
24,0,14.74057230058282,21.845852251470067,1623832
24,1,139.7998727700895,23.559571491927763,1623832
24,2,106.48656819178339,10.961643367676492,1623832
25,0,15.073769330817473,21.952127644088062,1623832
25,1,139.17590551239292,23.544532681131713,1623832
25,2,105.24449019356682,10.873445890042216,1623832
26,0,15.404599121091344,22.065577761517787,1623832
26,1,138.7456436380118,23.53026826300699,1623832
26,2,103.95810527197395,10.783661531252072,1623832
27,0,15.734646194926569,22.20359628992573,1623832
27,1,138.09946841791515,23.51425456535591,1623832
27,2,102.68741593957995,10.695323860937028,1623832
28,0,16.01937946782672,22.328571488839543,1623832
28,1,137.2594196936629,23.491810408262896,1623832
28,2,101.2950680858611,10.6074644010821,1623832
29,0,16.343303987111966,22.46664261040102,1623832
29,1,136.81944745515545,23.488750983105508,1623832
